"","Subject","Level","Block","Trial","Condition","TrialType","EventType","EventTime","SoundID","AnimationID","MovDir","Congruency","Response","Correctness"
"1",16,1,NA,NA,"1",NA,1,0.2066741,NA,NA,NA,NA,NA,NA
"2",16,1,1,NA,"1",1,1,4.174032,NA,NA,NA,NA,NA,NA
"3",16,1,1,NA,"1",1,2,5.209424,3,NA,NA,NA,NA,NA
"4",16,1,1,NA,"1",1,2,6.244939,4,NA,NA,NA,NA,NA
"5",16,1,1,NA,"1",1,2,7.864155,1,NA,NA,NA,NA,NA
"6",16,1,1,NA,"1",1,2,9.567793,4,NA,NA,NA,NA,NA
"7",16,1,1,NA,"1",1,2,10.65293,7,NA,NA,NA,NA,NA
"8",16,1,1,NA,"1",1,2,12.15527,4,NA,NA,NA,NA,NA
"9",16,1,1,NA,"1",1,2,13.19134,3,NA,NA,NA,NA,NA
"10",16,1,1,NA,"1",1,2,14.49284,4,NA,NA,NA,NA,NA
"11",16,1,1,NA,"1",1,2,16.31283,3,NA,NA,NA,NA,NA
"12",16,1,1,NA,"1",1,2,18.38341,1,NA,NA,NA,NA,NA
"13",16,1,1,NA,"1",1,2,20.52066,2,NA,NA,NA,NA,NA
"14",16,1,1,NA,"1",1,2,21.77307,4,NA,NA,NA,NA,NA
"15",16,1,1,NA,"1",1,2,22.8083,3,NA,NA,NA,NA,NA
"16",16,1,1,NA,"1",1,1,24.19503,NA,NA,NA,NA,NA,NA
"17",16,1,1,1,"1",2,1,25.21735,NA,NA,NA,NA,NA,NA
"18",16,1,1,1,"1",2,3,26.23062,6,24,8,0,NA,NA
"19",16,1,1,1,"1",2,1,26.23462,NA,NA,NA,NA,NA,NA
"20",16,1,1,1,"1",2,4,28.36343,6,24,8,0,0,TRUE
"21",16,1,1,2,"1",2,1,28.74302,NA,NA,NA,NA,NA,NA
"22",16,1,1,2,"1",2,3,29.75368,8,37,2,0,NA,NA
"23",16,1,1,2,"1",2,1,29.75637,NA,NA,NA,NA,NA,NA
"24",16,1,1,2,"1",2,4,31.38275,8,37,2,0,0,TRUE
"25",16,1,1,3,"1",2,1,32.26443,NA,NA,NA,NA,NA,NA
"26",16,1,1,3,"1",2,3,33.27675,4,2,4,1,NA,NA
"27",16,1,1,3,"1",2,1,33.28003,NA,NA,NA,NA,NA,NA
"28",16,1,1,3,"1",2,4,34.8974,4,2,4,1,1,TRUE
"29",16,1,2,NA,"1",1,1,40.57341,NA,NA,NA,NA,NA,NA
"30",16,1,2,NA,"1",1,2,41.54195,2,NA,NA,NA,NA,NA
"31",16,1,2,NA,"1",1,2,42.57762,1,NA,NA,NA,NA,NA
"32",16,1,2,NA,"1",1,2,43.96328,3,NA,NA,NA,NA,NA
"33",16,1,2,NA,"1",1,2,45.35876,4,NA,NA,NA,NA,NA
"34",16,1,2,NA,"1",1,2,46.95172,3,NA,NA,NA,NA,NA
"35",16,1,2,NA,"1",1,2,48.07041,4,NA,NA,NA,NA,NA
"36",16,1,2,NA,"1",1,2,49.10623,1,NA,NA,NA,NA,NA
"37",16,1,2,NA,"1",1,2,50.22436,2,NA,NA,NA,NA,NA
"38",16,1,2,NA,"1",1,2,51.26108,1,NA,NA,NA,NA,NA
"39",16,1,2,NA,"1",1,2,52.29533,2,NA,NA,NA,NA,NA
"40",16,1,2,NA,"1",1,2,53.93106,3,NA,NA,NA,NA,NA
"41",16,1,2,NA,"1",1,2,54.96657,4,NA,NA,NA,NA,NA
"42",16,1,2,NA,"1",1,2,56.06855,5,NA,NA,NA,NA,NA
"43",16,1,2,NA,"1",1,2,57.10417,8,NA,NA,NA,NA,NA
"44",16,1,2,NA,"1",1,2,58.1393,5,NA,NA,NA,NA,NA
"45",16,1,2,NA,"1",1,2,59.27417,8,NA,NA,NA,NA,NA
"46",16,1,2,NA,"1",1,2,60.30958,3,NA,NA,NA,NA,NA
"47",16,1,2,NA,"1",1,1,61.348,NA,NA,NA,NA,NA,NA
"48",16,1,2,1,"1",2,1,62.36677,NA,NA,NA,NA,NA,NA
"49",16,1,2,1,"1",2,3,63.38138,1,40,1,1,NA,NA
"50",16,1,2,1,"1",2,1,63.38403,NA,NA,NA,NA,NA,NA
"51",16,1,2,1,"1",2,4,65.88489,1,40,1,1,NA,NA
"52",16,1,2,2,"1",2,1,65.89085,NA,NA,NA,NA,NA,NA
"53",16,1,2,2,"1",2,3,66.90452,2,30,3,0,NA,NA
"54",16,1,2,2,"1",2,1,66.90927,NA,NA,NA,NA,NA,NA
"55",16,1,2,2,"1",2,4,68.82799,2,30,3,0,0,TRUE
"56",16,1,2,3,"1",2,1,69.41948,NA,NA,NA,NA,NA,NA
"57",16,1,2,3,"1",2,3,70.42759,7,13,7,1,NA,NA
"58",16,1,2,3,"1",2,1,70.42998,NA,NA,NA,NA,NA,NA
"59",16,1,2,3,"1",2,4,72.15525,7,13,7,1,0,FALSE
"60",16,1,3,NA,"1",1,1,81.78156,NA,NA,NA,NA,NA,NA
"61",16,1,3,NA,"1",1,2,82.91736,2,NA,NA,NA,NA,NA
"62",16,1,3,NA,"1",1,2,83.95257,1,NA,NA,NA,NA,NA
"63",16,1,3,NA,"1",1,2,85.40488,7,NA,NA,NA,NA,NA
"64",16,1,3,NA,"1",1,2,86.44086,6,NA,NA,NA,NA,NA
"65",16,1,3,NA,"1",1,2,87.77587,7,NA,NA,NA,NA,NA
"66",16,1,3,NA,"1",1,2,88.81138,6,NA,NA,NA,NA,NA
"67",16,1,3,NA,"1",1,2,90.46404,3,NA,NA,NA,NA,NA
"68",16,1,3,NA,"1",1,2,91.61616,4,NA,NA,NA,NA,NA
"69",16,1,3,NA,"1",1,2,92.95191,3,NA,NA,NA,NA,NA
"70",16,1,3,NA,"1",1,2,94.05389,4,NA,NA,NA,NA,NA
"71",16,1,3,NA,"1",1,2,95.08958,7,NA,NA,NA,NA,NA
"72",16,1,3,NA,"1",1,2,96.12481,6,NA,NA,NA,NA,NA
"73",16,1,3,NA,"1",1,2,97.79404,2,NA,NA,NA,NA,NA
"74",16,1,3,NA,"1",1,2,98.82963,1,NA,NA,NA,NA,NA
"75",16,1,3,NA,"1",1,2,99.99798,2,NA,NA,NA,NA,NA
"76",16,1,3,NA,"1",1,2,101.0336,1,NA,NA,NA,NA,NA
"77",16,1,3,NA,"1",1,2,102.0687,3,NA,NA,NA,NA,NA
"78",16,1,3,NA,"1",1,1,103.0916,NA,NA,NA,NA,NA,NA
"79",16,1,3,1,"1",2,1,104.1087,NA,NA,NA,NA,NA,NA
"80",16,1,3,1,"1",2,3,105.1239,5,7,4,0,NA,NA
"81",16,1,3,1,"1",2,1,105.1261,NA,NA,NA,NA,NA,NA
"82",16,1,3,1,"1",2,4,106.7977,5,7,4,0,0,TRUE
"83",16,1,3,2,"1",2,1,107.6315,NA,NA,NA,NA,NA,NA
"84",16,1,3,2,"1",2,3,108.647,6,22,6,1,NA,NA
"85",16,1,3,2,"1",2,1,108.6491,NA,NA,NA,NA,NA,NA
"86",16,1,3,2,"1",2,4,110.5785,6,22,6,1,0,FALSE
"87",16,1,3,3,"1",2,1,111.1543,NA,NA,NA,NA,NA,NA
"88",16,1,3,3,"1",2,3,112.1699,4,35,7,0,NA,NA
"89",16,1,3,3,"1",2,1,112.1723,NA,NA,NA,NA,NA,NA
"90",16,1,3,3,"1",2,4,113.8745,4,35,7,0,0,TRUE
"91",16,1,4,NA,"1",1,1,122.1048,NA,NA,NA,NA,NA,NA
"92",16,1,4,NA,"1",1,2,124.4758,2,NA,NA,NA,NA,NA
"93",16,1,4,NA,"1",1,2,125.5113,1,NA,NA,NA,NA,NA
"94",16,1,4,NA,"1",1,2,126.8301,1,NA,NA,NA,NA,NA
"95",16,1,4,NA,"1",1,2,128.7502,2,NA,NA,NA,NA,NA
"96",16,1,4,NA,"1",1,2,129.7859,1,NA,NA,NA,NA,NA
"97",16,1,4,NA,"1",1,2,130.8212,2,NA,NA,NA,NA,NA
"98",16,1,4,NA,"1",1,2,131.8565,1,NA,NA,NA,NA,NA
"99",16,1,4,NA,"1",1,2,132.9912,3,NA,NA,NA,NA,NA
"100",16,1,4,NA,"1",1,2,134.2602,3,NA,NA,NA,NA,NA
"101",16,1,4,NA,"1",1,2,135.2958,3,NA,NA,NA,NA,NA
"102",16,1,4,NA,"1",1,2,137.0486,4,NA,NA,NA,NA,NA
"103",16,1,4,NA,"1",1,2,138.1673,3,NA,NA,NA,NA,NA
"104",16,1,4,NA,"1",1,2,139.6366,4,NA,NA,NA,NA,NA
"105",16,1,4,NA,"1",1,2,140.989,2,NA,NA,NA,NA,NA
"106",16,1,4,NA,"1",1,2,142.0577,1,NA,NA,NA,NA,NA
"107",16,1,4,NA,"1",1,1,143.0957,NA,NA,NA,NA,NA,NA
"108",16,1,4,1,"1",2,1,144.1151,NA,NA,NA,NA,NA,NA
"109",16,1,4,1,"1",2,3,145.1298,3,39,3,1,NA,NA
"110",16,1,4,1,"1",2,1,145.1321,NA,NA,NA,NA,NA,NA
"111",16,1,4,1,"1",2,4,146.808,3,39,3,1,1,TRUE
"112",16,1,4,2,"1",2,1,147.6376,NA,NA,NA,NA,NA,NA
"113",16,1,4,2,"1",2,3,148.6529,8,3,8,1,NA,NA
"114",16,1,4,2,"1",2,1,148.6551,NA,NA,NA,NA,NA,NA
"115",16,1,4,2,"1",2,4,150.4166,8,3,8,1,1,TRUE
"116",16,1,4,3,"1",2,1,151.1594,NA,NA,NA,NA,NA,NA
"117",16,1,4,3,"1",2,3,152.1759,2,29,4,0,NA,NA
"118",16,1,4,3,"1",2,1,152.178,NA,NA,NA,NA,NA,NA
"119",16,1,4,3,"1",2,4,153.7442,2,29,4,0,0,TRUE
"120",16,1,5,NA,"1",1,1,159.1723,NA,NA,NA,NA,NA,NA
"121",16,1,5,NA,"1",1,2,161.3932,7,NA,NA,NA,NA,NA
"122",16,1,5,NA,"1",1,2,162.4284,6,NA,NA,NA,NA,NA
"123",16,1,5,NA,"1",1,2,163.497,6,NA,NA,NA,NA,NA
