"";"Subject";"Contingency";"Block";"Condition";"SoundID";"Correctness"
"198";2;1;1;1;1;TRUE
"204";2;1;1;1;4;FALSE
"226";2;1;2;1;1;NA
"229";2;1;2;1;3;FALSE
"238";2;1;2;1;2;NA
"241";2;1;2;1;7;FALSE
"259";2;1;3;1;2;TRUE
"262";2;1;3;1;5;TRUE
"265";2;1;3;1;3;TRUE
"268";2;1;3;1;8;TRUE
"271";2;1;3;1;7;FALSE
"274";2;1;3;1;1;TRUE
"292";2;1;4;1;6;TRUE
"295";2;1;4;1;1;TRUE
"298";2;1;4;1;4;TRUE
"301";2;1;4;1;5;FALSE
"304";2;1;4;1;3;TRUE
"307";2;1;4;1;2;TRUE
"327";2;1;5;1;6;TRUE
"330";2;1;5;1;3;TRUE
"333";2;1;5;1;2;TRUE
"336";2;1;5;1;1;TRUE
"339";2;1;5;1;8;TRUE
"342";2;1;5;1;4;TRUE
"361";2;1;6;1;8;TRUE
"364";2;1;6;1;1;TRUE
"367";2;1;6;1;2;TRUE
"370";2;1;6;1;6;TRUE
"373";2;1;6;1;4;TRUE
"376";2;1;6;1;7;NA
"397";2;1;7;1;8;TRUE
"400";2;1;7;1;3;TRUE
"403";2;1;7;1;6;TRUE
"406";2;1;7;1;2;TRUE
"409";2;1;7;1;1;TRUE
"412";2;1;7;1;4;FALSE
"434";2;2;1;2;7;TRUE
"437";2;2;1;2;8;FALSE
"443";2;2;1;2;6;TRUE
"449";2;2;1;2;5;FALSE
"467";2;2;2;2;1;NA
"470";2;2;2;2;3;FALSE
"473";2;2;2;2;8;FALSE
"476";2;2;2;2;5;TRUE
"479";2;2;2;2;2;TRUE
"482";2;2;2;2;7;TRUE
"501";2;2;3;2;2;TRUE
"504";2;2;3;2;5;TRUE
"507";2;2;3;2;3;NA
"510";2;2;3;2;8;NA
"513";2;2;3;2;7;FALSE
"516";2;2;3;2;1;FALSE
"535";2;2;4;2;6;FALSE
"538";2;2;4;2;1;TRUE
"541";2;2;4;2;4;FALSE
"544";2;2;4;2;5;TRUE
"547";2;2;4;2;3;FALSE
"550";2;2;4;2;2;FALSE
"568";2;2;5;2;6;TRUE
"571";2;2;5;2;3;NA
"574";2;2;5;2;2;TRUE
"577";2;2;5;2;1;TRUE
"580";2;2;5;2;8;TRUE
"583";2;2;5;2;4;TRUE
"602";2;2;6;2;8;TRUE
"605";2;2;6;2;1;TRUE
"608";2;2;6;2;2;TRUE
"611";2;2;6;2;6;TRUE
"614";2;2;6;2;4;TRUE
"617";2;2;6;2;7;TRUE
"637";2;2;7;2;8;TRUE
"640";2;2;7;2;3;TRUE
"643";2;2;7;2;6;FALSE
"646";2;2;7;2;2;FALSE
"649";2;2;7;2;1;TRUE
"652";2;2;7;2;4;FALSE
"675";2;3;1;1;1;TRUE
"681";2;3;1;1;4;TRUE
"702";2;3;2;1;1;TRUE
"705";2;3;2;1;3;TRUE
"714";2;3;2;1;2;TRUE
"737";2;3;3;1;2;NA
"740";2;3;3;1;5;TRUE
"743";2;3;3;1;3;TRUE
"746";2;3;3;1;8;TRUE
"749";2;3;3;1;7;TRUE
"752";2;3;3;1;1;TRUE
"771";2;3;4;1;6;TRUE
"774";2;3;4;1;1;TRUE
"777";2;3;4;1;4;TRUE
"780";2;3;4;1;5;TRUE
"783";2;3;4;1;3;FALSE
"786";2;3;4;1;2;TRUE
"804";2;3;5;1;6;TRUE
"807";2;3;5;1;3;TRUE
"810";2;3;5;1;2;NA
"813";2;3;5;1;1;TRUE
"816";2;3;5;1;8;TRUE
"819";2;3;5;1;4;TRUE
"839";2;3;6;1;8;FALSE
"842";2;3;6;1;1;TRUE
"845";2;3;6;1;2;TRUE
"848";2;3;6;1;6;TRUE
"851";2;3;6;1;4;FALSE
"854";2;3;6;1;7;TRUE
"873";2;3;7;1;8;TRUE
"876";2;3;7;1;3;TRUE
"879";2;3;7;1;6;TRUE
"882";2;3;7;1;2;TRUE
"885";2;3;7;1;1;TRUE
"888";2;3;7;1;4;FALSE
"909";2;4;1;2;7;TRUE
"912";2;4;1;2;8;FALSE
"915";2;4;1;2;1;FALSE
"918";2;4;1;2;6;TRUE
"924";2;4;1;2;5;TRUE
"943";2;4;2;2;1;FALSE
"946";2;4;2;2;3;NA
"949";2;4;2;2;8;TRUE
"952";2;4;2;2;5;TRUE
"955";2;4;2;2;2;NA
"958";2;4;2;2;7;TRUE
"976";2;4;3;2;2;NA
"979";2;4;3;2;5;TRUE
"982";2;4;3;2;3;TRUE
"985";2;4;3;2;8;NA
"988";2;4;3;2;7;TRUE
"991";2;4;3;2;1;TRUE
"1011";2;4;4;2;6;NA
"1014";2;4;4;2;1;TRUE
"1017";2;4;4;2;4;TRUE
"1020";2;4;4;2;5;TRUE
"1023";2;4;4;2;3;TRUE
"1026";2;4;4;2;2;FALSE
"1045";2;4;5;2;6;NA
"1048";2;4;5;2;3;TRUE
"1051";2;4;5;2;2;FALSE
"1054";2;4;5;2;1;TRUE
"1057";2;4;5;2;8;TRUE
"1060";2;4;5;2;4;TRUE
"1076";2;4;6;2;8;NA
"1079";2;4;6;2;1;TRUE
"1082";2;4;6;2;2;TRUE
"1085";2;4;6;2;6;FALSE
"1088";2;4;6;2;4;TRUE
"1091";2;4;6;2;7;NA
"1109";2;4;7;2;8;TRUE
"1112";2;4;7;2;3;TRUE
"1115";2;4;7;2;6;TRUE
"1118";2;4;7;2;2;NA
"1121";2;4;7;2;1;TRUE
"1124";2;4;7;2;4;FALSE
"1142";2;5;1;1;7;NA
"1148";2;5;1;1;1;FALSE
"1151";2;5;1;1;6;FALSE
"1154";2;5;1;1;4;TRUE
"1175";2;5;2;1;1;TRUE
"1178";2;5;2;1;3;TRUE
"1187";2;5;2;1;2;TRUE
"1190";2;5;2;1;7;NA
"1208";2;5;3;1;2;NA
"1211";2;5;3;1;5;FALSE
"1214";2;5;3;1;3;TRUE
"1217";2;5;3;1;8;TRUE
"1220";2;5;3;1;7;TRUE
"1223";2;5;3;1;1;TRUE
"1242";2;5;4;1;6;TRUE
"1245";2;5;4;1;1;NA
"1248";2;5;4;1;4;NA
"1251";2;5;4;1;5;NA
"1254";2;5;4;1;3;TRUE
